id,person,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_hashtag,created,session_id
34,33,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBlackBeanStew', '#ProteinPackedMeal', '#LowFatHighProtein', '#NutrientRichDinner', '#FSA6Approved', '#QuickAndEasyRecipe']",2024-12-11 10:16:03.427113+00:00,dars111417_33zmrgx
33,31,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyEating', '#LowFatMeal', '#HighProteinDish', '#FSA6Approved', '#NutritiousAndDelicious', '#EasyToPrepare']",2024-12-11 10:15:51.835124+00:00,dars111339_31nfyog
32,36,2210,Vietnamese Salad Rolls,B,6,healthy,"['#HealthyEating', '#LowCalorieMeal', '#HighProteinDish', '#NutrientRich', '#FreshIngredients', '#FSA6']",2024-12-11 10:15:45.856358+00:00,dars111444_36mhxzq
31,35,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyEatingOption', '#HighCalorieMeal', '#HighFatContent', '#LowFSArating', '#NotRecommendedForWeightLoss', '#NotSuitableForSedentaryLifestyle']",2024-12-11 10:15:26.517367+00:00,dars111427_35nzpef
30,29,3992,Raspberry Almond Coffeecake,D,10,unhealthy,"['#HealthyRaspberryAlmondCoffeecake', '#LowCalorieTreat', '#NutrientRichBreakfast', '#GuiltyPleasureAlternative', '#HighFatHighFlavor', '#NotForInactiveLifestyles']",2024-12-11 10:15:04.072361+00:00,dars111322_29pockr
29,28,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#LowCalorieDish', '#ProteinPackedMeal', '#NutrientRichRecipe', '#FSA6Approved', '#BalancedDietOption']",2024-12-11 10:14:11.328279+00:00,dars111246_28rggoh
28,30,5687,Hearty Ham Casserole,C,10,unhealthy,"['#HighFatLowProteinCasserole', '#UnhealthyButHeartyHam', '#CalorieBombCasserole', '#FSA10HamCasserole', '#NotForHealthyEaters', '#SleepStealerHamdish']",2024-12-11 10:14:04.575397+00:00,dars111327_30ajdll
27,21,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyEating', '#LowCalorieDinner', '#ProteinPackedMeal', '#NutritiousIngredients', '#FSA6Approved', '#QuickAndEasyRecipe']",2024-12-11 10:13:37.523188+00:00,dars110820_21dfnsu
26,25,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#LowCalorieMeal', '#ProteinPackedDish', '#GingerHoisinMarinade', '#GoodFSArating', '#NutrientRichMeal']",2024-12-11 10:12:59.255036+00:00,dars110932_25scurv
25,27,5474,Ham Chowder,B,10,unhealthy,"['#HealthyHamChowder', '#LowFatHighProteinChowder', '#CalorieFriendlyChowder', '#NutritiousHamSoup', '#UnhealthyFSAChowder', '#ProceedWithCautionChowder']",2024-12-11 10:12:19.870906+00:00,dars110952_27jdqou
24,26,6345,Pasta Sauce with Italian Sausage,C,10,unhealthy,"['#HealthyItalianSausagePasta', '#LowCalorieSausageSauce', '#ProteinPackedPastaDish', '#NotRecommendedForWeightLoss', '#HighInFatNotForThoseWithHighBMI', '#DeliciousButNotIdealForInactiveLifestyle']",2024-12-11 10:11:52.910116+00:00,dars110942_26otyol
23,20,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyPorkOption', '#AppleGlazedProteinBoost', '#LowFatDinnerChoice', '#FSA6ApprovedMeal', '#EnergyBoostingPorkRecipe', '#NutrientRichPorkDish']",2024-12-11 10:11:51.557592+00:00,dars110807_20mohry
22,24,2329,Lentil Loaf,A,5,healthy,"['#HealthyLentilLoaf', '#NutritiousVegetarianMeal', '#LowFatHighProtein', '#FSA5Approved', '#BalancedDietOption', '#EnergyBoostingDish']",2024-12-11 10:10:53.588976+00:00,dars110918_24plkvp
21,22,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBeanStew', '#ProteinPackedDish', '#NutritiousMeal', '#LowFatHighProtein', '#FSA6Recipe', '#BrazilianCuisine']",2024-12-11 10:10:12.959897+00:00,dars110842_22chhqv
19,18,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#LowCalorieEnchiladaCasserole', '#ProteinPackedEnchiladaCasserole', '#NutritiousEnchiladaCasserole', '#FSA10EnchiladaCasserole', '#NotForWeightLossEnchiladaCasserole']",2024-12-11 10:10:02.248371+00:00,dars110753_18kwryk
18,23,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyIngredients', '#HighFatLowProtein', '#NotRecommended', '#FSA10', '#CalorieOverload', '#AvoidHawaiianChicken']",2024-12-11 10:09:55.169675+00:00,dars110845_23rhfzw
17,19,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyProteinPackedDish', '#LowFatHighProteinMeal', '#FSAapprovedRecipe', '#NutrientRichChili', '#DeliciousAndNutritious', '#BalancedMealOption']",2024-12-11 10:09:27.796434+00:00,dars110803_19muzgp
16,14,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBeans', '#ProteinPackedMeal', '#GoodFats', '#NutrientDense', '#FillingAndDelicious', '#BalancedNutrition']",2024-12-11 10:09:08.288796+00:00,dars110656_14rrdth
15,17,5609,Uglies,D,10,unhealthy,"['#UnhealthyButDelicious', '#HighCalorieLowFiber', '#FattyButProteinRich', '#NotRecommendedForWeightLoss', '#PoorChoiceForLowBMI', '#PrepareWithCaution']",2024-12-11 10:08:49.627182+00:00,dars110723_17eefmc
14,13,236,Imitation Meatloaf,A,6,healthy,"['#HealthyProteinOption', '#LowFatHighProtein', '#NutrientPackedMeal', '#EasyHealthyOption', '#FillingYetLowCalorie', '#NutritionallyBalancedDish']",2024-12-11 10:08:48.174498+00:00,dars110652_13afntn
13,16,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA4Approved', '#NutrientRichMeal', '#WeightLossFriendly', '#ProteinPackedDinner']",2024-12-11 10:08:43.823491+00:00,dars110703_16ghrjg
12,15,2210,Vietnamese Salad Rolls,B,6,healthy,"['#HealthyVietnameseRolls', '#FreshIngredients', '#NutritiousSaladRolls', '#LowCalorieHighProtein', '#FSA6Approved', '#LightAndSatisfying']",2024-12-11 10:08:10.573473+00:00,dars110657_15oblez
11,11,2483,House Fried Rice,B,6,healthy,"['#HealthyEatingChoice', '#LowCalorieOption', '#HighProteinMeal', '#NutrientRichIngredients', '#FSA6Approved', '#TastyAndNourishing']",2024-12-11 10:06:05.476231+00:00,dars110434_11qpici
10,10,936,Pork Chop and Cabbage Casserole,A,4,healthy,"['#HealthyPorkChopCasserole', '#GoodFatsAndProteins', '#LowCalorieMeal', '#NutritiousCabbageCasserole', '#WholesomeIngredients', '#BalancedDietOption']",2024-12-11 10:05:31.842132+00:00,dars110406_10rzrvq
9,9,2719,Quick and Easy Chicken Noodle Soup,A,6,healthy,"['#HealthyChickenNoodleSoup', '#LowFatHighProteinSoup', '#GoodnessInABowl', '#NutrientPackedMeal', '#EasyToMakeRecipe', '#SatisfyingComfortFood']",2024-12-11 09:31:46.764496+00:00,dars103038_9bnnfr
8,8,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBlackBeanStew', '#NutrientRichRecipe', '#ProteinPackedMeal', '#FSA6ApprovedDish', '#LowFatHighProtein', '#BrazilianFlavorDelight']",2024-12-11 09:31:24.403940+00:00,dars103035_8jtaig
7,7,4376,Eggplant Parmesan II,B,10,unhealthy,"['#HealthyEggplantParmesan', '#LowFatHighProtein', '#FSA10Outof12', '#487Calories', '#HeartHealthyIngredients', '#NotRecommendedForWeightLoss']",2024-12-11 09:31:03.197419+00:00,dars102953_7xyhde
6,6,3489,Flank Steak with Avocado Salsa,A,10,unhealthy,"['#HealthyEatingWithFlankSteak', '#AvocadoSalsaLovers', '#LowCalorieHighProtein', '#FSA10Dish', '#NutrientPackedMeal', '#FitLifeFlavors']",2024-12-11 09:29:08.315498+00:00,dars102820_6dgqnf
5,5,5989,Sweet and Sour Drumettes,C,10,unhealthy,"['#UnhealthyEats', '#HighCalorieRecipe', '#UnbalancedDiet', '#HighFatMeal', '#FSA10', '#NutritionNotOnPoint']",2024-12-11 09:27:40.479735+00:00,dars102516_5gmpuc
