person,age,country,education,gender,FK_9,FK_10,FK_11,FK_12,sus_1,sus_2,sus_3,sus_4,session_id,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_explanation,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,under_1,under_2,under_3,use_1,use_2,condition,n_condition
5015,b35_45,GB,BA,Female,5,5,5,1,5,3,4,4,674ca2f2b42dd96dc2f71707,161,60,Weekly,Daily,Very_High,No Goal,Not at all,A lot (>9h),7-9h,≥60min,446,Brazilian Black Bean Stew,A,6,healthy,"This Brazilian Black Bean Stew is a nutritious and delicious meal made with black beans, tomatoes, and a blend of flavorful spices. With a high protein content of 22.8g and low fat content of 2.363315048g, it makes for a healthy and filling dinner option. With an FSA score of 6 out of 6 - indicating it is a top choice for health-conscious individuals, this stew is perfect for those looking for a nutritious meal without sacrificing flavor.",5,5,5,4,4,2,5,1,2,5,1,5,5,5,5,5,Explanation,4
5014,b25_35,GB,BA,Female,4,4,4,1,4,3,4,4,55c3b47dfdf99b52bdba86da,165,54,Weekly,Daily,High,No Goal,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish made with lean chicken breast, whole grain pasta, and a variety of fresh vegetables. With a FSA score of 5 and only 185 calories per serving, it is a healthy option for individuals with higher BMI. Packed with 15.7g of protein and low in fat, this recipe is perfect for those who do not have eating goals but strive to maintain a balanced diet while having enough sleep and engaging in medium activity levels.",4,3,4,4,3,2,4,2,2,4,2,4,4,4,4,5,Explanation,4
5016,b25_35,GB,BA,Female,4,4,3,2,3,4,3,4,5c9a19cdd9540400018186e1,170,82,Monthly,Weekly,Medium,No Goal,Somewhat,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a wholesome dish made with lean chicken, beans, and vegetables, boasting a low FSA score of 4 out of 6, making it a nutritious choice for those with higher BMI. With only 412 calories, 0.973739897g of fat, and 47.2g of protein per serving, this chili is a satisfying and guilt-free meal option for those with erratic eating habits and limited physical activity. Enjoy this flavorful and filling dish to fuel your body and support your health goals despite your busy lifestyle.",4,4,4,4,3,2,4,2,2,3,3,3,2,4,3,4,Explanation,4
5065,b35_45,GB,BA,Female,4,4,4,2,4,2,4,4,5b22694763b71800019fa5ba,160,55,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,936,Pork Chop and Cabbage Casserole,A,4,healthy,"A nutritious Pork Chop and Cabbage Casserole with a FSA score of 4, contains only 370 calories per serving. With 1.307668372g of fat and 21.5g of protein, it is a healthy option for those with normal BMI, no weight loss goals, and moderate activity levels. Enjoy this dish guilt-free as a satisfying and balanced meal.",3,3,2,4,4,4,2,2,2,4,3,3,2,4,4,4,Explanation,4
5018,b25_35,US,High_school,Female,4,4,4,2,5,3,4,5,5881a94114cf18000105243a,149,68,Daily,Daily,High,Lose Weight,Quite a lot,Not enough (<3h),≥9h,≥60min,5125,Spinach Basil Pesto,E,10,unhealthy,"This Spinach Basil Pesto is a high-fat, calorie dense dish with a FSA score of 10, containing 48.11g of fat and only 1.5g of protein. It is not suitable for someone with a higher BMI looking to reduce weight, eat fewer calories, get more sleep, or engage in less physical activity.",4,5,5,4,3,2,5,2,2,4,5,4,4,4,2,3,Explanation,4
5067,bover_55,GB,High_school,Female,3,3,3,2,4,3,4,4,5e15d85bd62abeba42692ed3,170,75,Monthly,Daily,Medium,Lose Weight,Somewhat,Not enough (<3h),≤7h,≤30min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"Moroccan Tagine is a nutritious dish with a high protein content of 22.5g, making it a healthier option for those looking to maintain or gain weight. With a low fat content of 1.933534743g, this dish is beneficial for individuals with higher BMI and may aid in weight management. With a FSA score of 6 out of 6 and only 434 calories, Moroccan Tagine is a satisfying and balanced meal option for those with busy lifestyles and limited physical activity.",4,2,4,5,2,3,3,3,3,4,2,4,4,4,4,3,Explanation,4
5058,b25_35,GB,BA,Female,3,2,2,4,4,2,3,3,665c302327136dcdb0c4a2e0,162,74,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a healthy and satisfying dish made with tender chicken breast, whole wheat pasta, and a flavorful tomato-based sauce. With a FSA score of 5 out of 6, this dish is a nutritious choice for individuals with higher BMI who are not trying to lose weight. With only 185 calories, 1.307047163g fat, and 15.7g protein per serving, this meal is perfect for those who lead an active lifestyle and prioritize getting enough sleep.",4,4,5,4,3,2,5,2,2,4,2,2,4,4,4,5,Explanation,4
5062,b35_45,GB,MSc,Male,1,5,3,1,4,4,4,2,670f9537444a3ee33ebd58df,187,83,Monthly,Daily,Very_High,Lose Weight,Not at all,Not enough (<3h),≤7h,≥60min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"Moroccan Tagine is a nutritious dish made with lean protein, vegetables, and aromatic spices, resulting in a healthy and flavorful meal. With a perfect FSA score of 6, 434 calories, 1.933534743g fat, and 22.5g protein, it is ideal for individuals looking to maintain a balanced diet without compromising on taste. Enjoy this delicious and wholesome dish without needing to adjust your eating habits or activity level.",5,4,5,4,4,2,5,1,1,4,1,5,5,5,5,4,Explanation,4
5061,bover_55,GB,High_school,Female,4,4,4,2,4,4,4,4,6649f935a6831bc241e34368,158,64,Weekly,Daily,High,No Goal,Not at all,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious and satisfying dish with a FSA score of 4 (good). With only 412 calories, 0.973739897g of fat, and 47.2g of protein per serving, it is a healthy option for those with higher BMI and no specific eating goals. This recipe is quick and easy to prepare, making it suitable for individuals with few hours of sleep and not enough activity levels.",5,5,5,4,4,2,5,1,2,5,1,5,5,5,5,5,Explanation,4
5020,b35_45,GB,High_school,Male,3,4,2,4,4,2,4,3,5e9dbe118571130e9056e024,192,118,Weekly,Daily,Medium,Lose Weight,Not at all,Average (=6h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious dish with a FSA score of 4, indicating it is a healthy choice. With only 412 calories, 0.973739897g fat, and 47.2g protein, it is a satisfying option for individuals with higher BMI who are not looking to lose weight but still want a balanced diet. Its wholesome ingredients make it a great choice for those with medium activity levels and limited hours of sleep.",4,4,3,5,3,4,3,3,2,5,4,4,5,5,4,4,Explanation,4
5053,b25_35,GB,High_school,Female,3,4,4,2,4,3,4,2,66095082185479f7db42d782,162,107,Monthly,Daily,High,Lose Weight,Not at all,Average (=6h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious and satisfying dish, with a FSA score of 4 out of 6. With only 412 calories, 0.973739897g fat, and 47.2g protein per serving, this recipe is perfect for those with higher BMI looking for a healthy and filling meal. It is easy to prepare, making it a great option for individuals with limited time for cooking, moderate physical activity levels, and average amount of sleep.",4,3,4,4,3,2,4,2,2,4,2,4,4,4,4,4,Explanation,4
5021,b25_35,GB,Doctorate,Male,4,4,4,1,4,3,4,5,6658cde9ca426e0ee4f620b4,183,96,Monthly,Daily,High,No Goal,Not at all,Average (=6h),≤7h,30-60min,2329,Lentil Loaf,A,5,healthy,"Lentil Loaf is a nutritious dish made with high-protein lentils, which are rich in fiber and essential nutrients. With a FSA score of 5 out of 6, low in fat (2.5g) and high in protein (14.6g), this dish is perfect for those looking to maintain a healthier diet. With only 272 calories per serving, Lentil Loaf is a satisfying and wholesome option for individuals with higher BMI, no specific eating goal, limited sleep, and moderate activity levels.",3,4,4,5,2,4,1,4,4,1,2,2,3,4,2,4,Explanation,4
5060,b18_24,GB,High_school,Male,3,3,4,2,2,2,4,2,66c1078ce64dfbcdb839e7e5,173,55,Monthly,Weekly,Medium,Gain Weight,Somewhat,Average (=6h),7-9h,≥60min,2282,Pasta Fagioli Soup II,A,6,healthy,"This Pasta Fagioli Soup II is a nutritious dish with a high protein content of 15.8g and low fat content of 0.731142613g, making it a healthy choice for those looking to gain weight. With a FSA score of 6, this soup is rated as good quality and contains only 288 calories, making it suitable for individuals with lower BMI. Combined with enough hours of sleep and medium activity level, this recipe is a delicious and filling option for anyone looking to improve their overall health.",1,1,1,4,2,2,3,2,1,5,4,4,2,4,3,4,Explanation,4
5019,b35_45,US,BA,Female,5,5,5,1,4,3,4,2,5c7010404a99c6000139851e,153,56,Weekly,Daily,High,No Goal,Not at all,A lot (>9h),7-9h,30-60min,2803,Divine Spaghetti Sauce,A,6,healthy,"Divine Spaghetti Sauce is a healthy and flavorful dish made with fresh ingredients like tomatoes, garlic, and herbs. With a perfect FSA score of 6 and only 534 calories, 2.879594958g fat, and 26.3g protein, it is a guilt-free and nutritious option for a delicious meal. Even for those with no specific dietary goals, ample sleep, and a sedentary lifestyle, this recipe is worth trying for its health benefits and satisfying taste.",4,4,4,2,4,1,5,1,2,4,2,3,4,4,3,3,Explanation,4
5022,b18_24,GB,BA,Male,4,4,4,2,4,3,2,3,5e8b70bd6246300465f12911,193,88,Monthly,Weekly,Medium,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min,936,Pork Chop and Cabbage Casserole,A,4,healthy,"This Pork Chop and Cabbage Casserole is a healthy dish with a low FSA score of 4, containing only 370 calories, 1.307668372g of fat, and 21.5g of protein. It is perfect for individuals with a normal BMI who are looking to maintain their weight while enjoying a nutritious and satisfying meal. With enough sleep and moderate physical activity, this recipe is a great option for those seeking a wholesome and balanced dinner option.",3,2,3,4,1,2,4,2,2,4,2,3,4,4,3,2,Explanation,4
5046,b25_35,GB,High_school,Female,3,4,4,3,4,3,4,4,5ae1e99638df950001454b0e,165,76,Weekly,Daily,Medium,Lose Weight,Somewhat,Not enough (<3h),≤7h,30-60min,236,Imitation Meatloaf,A,6,healthy,"Michelle's Blonde Chicken Chili is a nutritious dish with a perfect FSA score of 6, making it a healthy choice for those with higher BMI. With only 331 calories, 3.867334592g fat, and 17.4g protein, this recipe is ideal for individuals looking to maintain a balanced diet while managing their weight and energy levels. Even for those with limited time for physical activity, this chili provides a satisfying and nourishing option that is easy to prepare.",4,4,4,3,3,5,3,1,1,4,1,3,4,4,4,5,Explanation,4
5030,b35_45,GB,High_school,Male,3,4,4,3,3,3,2,4,5ea03ed29cb1f00672af3eda,180,85,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,≥60min,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"This hearty Slow Cooker Vegetable Beef Soup is a nutritious option for those with higher BMIs seeking a satisfying meal. With a perfect FSA score of 6, low 1.514458042g fat, and high 18.0g protein, this dish provides a balanced and wholesome option. With only 264 calories per serving, it is a delicious choice for those who prioritize health and weight maintenance, even for individuals with medium activity levels.",2,2,2,4,3,1,3,2,2,3,2,4,2,4,4,4,Explanation,4
5029,b25_35,GB,High_school,Male,4,4,4,1,5,4,4,4,66327d41c775fbf9149cdab9,169,60,Monthly,Daily,Medium,Lose Weight,Somewhat,Not enough (<3h),≤7h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"Moroccan Tagine is a nutritious dish featuring lean protein and a variety of vegetables, resulting in a FSA score of 6 out of 6 - classified as good. With only 508 calories, 2.363315048g fat, and 22.8g protein per serving, this hearty meal is perfect for individuals with normal BMI, moderate activity levels, and a balanced diet. The rich flavors and health benefits of Moroccan Tagine make it a delicious and satisfying choice for those looking for a convenient, nutrient-dense meal option.",3,2,4,5,2,1,5,1,2,4,2,2,2,3,3,3,Explanation,4
5063,b35_45,GB,MSc,Male,5,5,5,1,5,5,5,2,6730ec73a5938e8d0a4840cf,146,53,Monthly,Daily,Very_High,No Goal,Not at all,Average (=6h),7-9h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"Divine Spaghetti Sauce is a healthy and nutritious choice with a FSA score of 6 out of 6, making it an excellent option for maintaining a balanced diet. With only 508 calories, 2.36g of fat, and 22.8g of protein per serving, this dish provides a satisfying and guilt-free meal for those with normal BMI and medium activity levels looking to enjoy a delicious homemade meal.",5,5,5,4,4,1,5,1,1,4,1,5,4,5,5,5,Explanation,4
5028,b25_35,GB,High_school,Female,2,4,3,4,4,3,4,3,62fb8e94ce94179d6a4e8277,55,15,Monthly,Daily,Very_Low,Lose Weight,Somewhat,Average (=6h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious and satisfying dish packed with lean protein, boasting a high protein content of 47.2g per serving. With only 0.973739897g of fat and a low FSA score of 4 out of 6, this chili is a healthy option for individuals with a higher BMI looking to maintain their weight while incorporating more protein into their diet. Additionally, at only 412 calories per serving, this chili is a guilt-free option for those with a somewhat active lifestyle and medium activity levels, providing the necessary fuel to keep you energized throughout the day.",2,3,4,4,3,4,3,2,2,2,2,4,2,4,4,4,Explanation,4
5036,b45_55,GB,MSc,Female,5,5,5,1,4,3,5,5,6662ab53ec2c98bc0c546a01,178,80,Monthly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,≥60min,1716,Tasty Collard Greens,A,5,healthy,"These delicious collard greens are packed with nutrients, including 9.6g of protein and only 2.621571217g of fat. With a FSA score of 5 (6 out of 6 - good), and only 142 calories, they make a healthy and satisfying addition to any meal. Even if you have a higher BMI and are not trying to lose weight, this dish is a great option for those with medium activity levels and enough hours of sleep.",3,2,2,5,2,2,4,1,3,4,3,2,1,1,1,4,Explanation,4
5069,b18_24,GB,High_school,Female,3,4,3,3,2,2,2,4,5b14972be9270900013c6052,154,54,Monthly,Weekly,Medium,No Goal,Quite a lot,Average (=6h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"Hoisin-Ginger Beef Skewers are a delicious and healthy option for a meal, with a perfect FSA score of 6. With only 124 calories per serving, 4.024351608g of fat, and 11.7g of protein, this dish is a satisfying choice for those with normal BMI and medium activity level. Prepare these skewers for a flavorful and nutritious meal that aligns with your health goals.",4,3,3,4,3,2,4,2,2,4,2,4,2,3,3,2,Explanation,4
5037,b45_55,GB,MSc,Female,4,4,4,2,4,3,4,5,5e37453bf269746d9e616f34,154,49,Weekly,Daily,High,No Goal,Not at all,A lot (>9h),7-9h,≥60min,446,Brazilian Black Bean Stew,A,6,healthy,"Brazilian Black Bean Stew is a nutritious and satisfying dish made with black beans, tomatoes, bell peppers, and onions. With a perfect FSA score of 6, it is low in fat and high in protein, providing a total of 508 calories per serving. This hearty stew is a delicious and well-balanced meal choice for anyone looking to enjoy a healthy and fulfilling dish without compromising taste.",4,3,3,4,2,2,3,1,3,3,3,2,2,2,2,2,Explanation,4
5031,b25_35,GB,MSc,Female,3,4,3,2,4,4,4,2,6658b1491e88ec15902d5301,171,90,Weekly,Weekly,High,Lose Weight,Somewhat,Not enough (<3h),7-9h,30-60min,3992,Raspberry Almond Coffeecake,D,10,unhealthy,"Raspberry Almond Coffeecake is a delicious treat, but with a FSA score of 10 out of 12, it is not the healthiest option for those trying to manage their weight. With 173 calories and 10.6g of fat per serving, it is best enjoyed in moderation by individuals who are maintaining a healthy lifestyle with adequate sleep and physical activity.",5,4,5,2,4,1,5,1,1,5,1,5,5,4,4,4,Explanation,4
5057,b18_24,GB,BA,Female,4,4,4,2,4,3,4,4,673dcedb5193078ab4237491,160,61,Weekly,Daily,Medium,Lose Weight,Somewhat,Average (=6h),≤7h,≥60min,561,Moroccan Tagine,A,6,healthy,"Moroccan Tagine is a healthy and flavorful dish made with tender chicken, vegetables, and fragrant spices. With a high FSA score of 6 and only 265 calories per serving, this dish is a nutritious option for those looking to maintain a balanced diet. Packed with 14.1g of protein and only 0.963675413g of fat, Moroccan Tagine is a satisfying meal that can easily be prepared by individuals with somewhat active lifestyles.",4,3,4,4,3,4,3,2,2,3,2,4,4,4,4,4,Explanation,4
5047,b25_35,GB,High_school,Male,4,4,3,1,3,3,4,3,63da67ccb6c1cf94cb34d4b3,183,97,Monthly,Daily,Medium,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish that contains lean chicken breast, whole wheat pasta, and a variety of vegetables. With a FSA score of 5 out of 6, low in fat (1.307047163g) and high in protein (15.7g), this meal is ideal for those with a higher BMI who are looking to maintain a balanced diet. It is a filling option for individuals who lead an active lifestyle and prioritize their health.",4,3,5,4,3,2,4,2,2,4,2,3,4,4,4,4,Explanation,4
5051,b45_55,GB,BA,Female,4,4,4,2,3,4,4,3,5bd0a57f446a8e0001204390,171,105,Weekly,Daily,High,No Goal,Somewhat,Average (=6h),7-9h,30-60min,3649,Enchilada Casserole,B,10,unhealthy,"Enchilada Casserole is a flavorful dish made with tortillas, cheese, and shredded chicken, providing 17.4g of protein. However, with a high FSA score of 10 and 9.74g of fat, this dish may not be suitable for those with higher BMI or no specific eating goals. It is recommended to opt for lighter, lower calorie options for individuals with somewhat active lifestyles and enough hours of sleep.",4,3,3,4,2,4,3,1,2,3,2,4,3,4,3,2,Explanation,4
5044,b35_45,GB,BA,Male,3,5,4,2,4,3,3,3,62cbebd0b3641f4745d7c863,182,72,Weekly,Daily,Medium,No Goal,Not at all,A lot (>9h),≤7h,30-60min,561,Moroccan Tagine,A,6,healthy,"Moroccan Tagine is a nutritious dish featuring lean protein from chicken, chickpeas, and vegetables cooked in flavorful spices like cumin and cinnamon. With a low FSA score of 6 out of 6, 265 calories, 0.963675413g fat, and 14.1g protein, this meal is a healthy option for those looking to maintain a balanced diet without compromising on taste. Even for those with minimal energy and time to spare, preparing this nutrient-packed tagine is a great choice for a satisfying and wholesome meal.",4,4,5,4,3,2,4,2,3,4,4,2,4,2,4,4,Explanation,4
5056,b35_45,GB,BA,Male,4,4,4,2,4,3,4,4,5b9b8570805e5d0001c61ad3,188,91,Weekly,Daily,High,No Goal,Not at all,A lot (>9h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious and healthy dish, with a low FSA score of 5 out of 6. With only 185 calories, 1.307g fat, and 15.7g protein per serving, it is perfect for those with higher BMI looking for a satisfying meal. With no specific eating goals, plenty of sleep, no stress, and high activity levels, this recipe is a great choice for a balanced diet.",3,2,3,5,2,2,4,2,2,4,2,4,4,4,3,2,Explanation,4
5038,b18_24,GB,BA,Female,4,4,3,2,4,3,4,3,5ee3e7eacf39640d3af2521f,177,80,Monthly,Daily,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish made with lean chicken breast, whole wheat pasta, and a variety of vegetables for added fiber and vitamins. With a FSA score of 5 out of 6, only 185 calories, 1.307047163g fat, and 15.7g protein per serving, it is an excellent choice for individuals with higher BMI looking to maintain a healthy diet. If you have enough sleep, are not trying to lose weight, and engage in medium activity levels, this recipe is the perfect option for a satisfying and balanced meal.",4,4,5,5,5,4,4,1,1,5,1,5,5,5,5,5,Explanation,4
5052,b25_35,GB,BA,Female,3,4,3,2,3,3,4,3,667c0ab0556ac92e2d6db642,164,59,Monthly,Daily,Medium,Lose Weight,Quite a lot,Not enough (<3h),≥9h,≥60min,2483,House Fried Rice,B,6,healthy,"House Fried Rice is a nutritious dish made with a blend of whole grains, vegetables, and lean protein. With a perfect FSA score of 6, it contains only 236 calories, 5.382157188g of fat, and 13.0g of protein, making it a satisfying yet healthy option for individuals with normal BMI and moderate physical activity levels. Enjoy this delicious meal without sacrificing taste or nutrition.",4,4,4,5,4,4,3,3,2,4,2,4,3,4,4,4,Explanation,4
5035,b45_55,GB,BA,Male,4,5,4,1,4,4,5,1,628b8fb9d25b3424dd467988,190,92,Weekly,Daily,High,Lose Weight,Not at all,A lot (>9h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"Chicken Pasta I is a wholesome dish featuring tender chicken breast, whole grain pasta, and a creamy garlic sauce. With a perfect FSA score of 6, this dish is low in calories (124), high in protein (11.7g), and moderate in fat (4.024351608g), making it a nutritious choice for those with higher BMI and active lifestyles. Enjoy this satisfying meal without compromising your health goals.",5,4,5,3,4,2,5,1,1,4,4,4,5,4,4,4,Explanation,4
5049,b45_55,GB,BA,Male,4,4,4,2,4,4,4,3,63654d0e99f5b917e61dffac,172,59,Weekly,Weekly,Medium,No Goal,Somewhat,Average (=6h),7-9h,30-60min,2746,Hearty Hamburger Soup,A,5,healthy,"Hearty Hamburger Soup is a nutritious and satisfying dish with a FSA score of 5, making it a great choice for those looking to maintain a balanced diet. With only 223 calories, 2.59g of fat, and 14.7g of protein per serving, this soup is a healthy option for individuals with higher BMI and medium activity levels. Enjoy a delicious and filling meal that will keep you energized throughout the day.",4,3,4,3,4,4,2,2,2,4,2,4,3,4,4,4,Explanation,4
