person,age,country,education,gender,FK_9,FK_10,FK_11,FK_12,sus_1,sus_2,sus_3,sus_4,session_id,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_hashtag,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,under_1,under_2,under_3,use_1,use_2,condition,n_condition
3026,b45_55,GB,High_school,Male,3,3,2,4,4,3,3,4,669049b9c8bedd2996d7ddea,182,101,Monthly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),≤7h,30-60min,6345,Pasta Sauce with Italian Sausage,C,10,unhealthy,"['#HealthyItalianSausagePasta', '#LowCalorieSausageSauce', '#ProteinPackedPastaDish', '#NotRecommendedForWeightLoss', '#HighInFatNotForThoseWithHighBMI', '#DeliciousButNotIdealForInactiveLifestyle']",4,4,4,3,4,4,3,2,2,4,4,4,4,4,4,2,Hashtags,3
3038,b25_35,GB,Doctorate,Female,4,5,4,2,4,3,4,5,63540405784b0febbc74e3ad,157,50,Weekly,Daily,High,No Goal,Not at all,Average (=6h),≤7h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBlackBeanStew', '#HighProteinMeal', '#LowFatDinner', '#NutrientRichDish', '#FSA6Approved', '#EasyHealthyRecipe']",4,3,4,5,3,2,2,2,2,4,2,2,3,3,4,2,Hashtags,3
3028,b25_35,GB,MSc,Female,4,4,4,2,4,3,5,3,6155eee8e147bde75c52d48f,157,74,Weekly,Daily,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#LowCalorieDish', '#ProteinPackedMeal', '#NutrientRichRecipe', '#FSA6Approved', '#BalancedDietOption']",4,4,4,5,4,1,4,1,2,4,2,4,2,4,4,4,Hashtags,3
3032,b35_45,GB,MSc,Female,3,4,4,3,3,2,4,4,5ea128dbb3b90d1378471bea,157,58,Monthly,Daily,Medium,Lose Weight,Somewhat,Average (=6h),≤7h,30-60min,5687,Hearty Ham Casserole,C,10,unhealthy,"['#HeartyHamCasserole', '#HamAndVegetableCasserole', '#ProteinPackedMeal', '#CalorieHeavyCasserole', '#UnhealthyButDelicious', '#NotRecommendedForRegularConsumption']",4,4,5,3,4,4,3,2,2,4,2,4,5,4,4,3,Hashtags,3
3031,bover_55,GB,BA,Female,4,4,4,1,3,4,3,3,587b7ab8c192390001d60136,152,50,Monthly,Daily,Medium,No Goal,Not at all,Not enough (<3h),≤7h,30-60min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyEating', '#LowFatMeal', '#HighProteinDish', '#FSA6Approved', '#NutritiousAndDelicious', '#EasyToPrepare']",4,3,4,4,4,1,4,1,1,5,1,5,5,5,4,4,Hashtags,3
3034,b25_35,GB,BA,Female,4,4,4,2,4,3,4,4,5cada641c8e3370018680c6f,160,62,Weekly,Daily,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyProteinPackedMeal', '#NutritiousBlackBeanStew', '#FSA6ApprovedRecipe', '#LowFatHighProteinDish', '#BrazilianStewForWellness', '#BalancedDietDelight']",4,4,4,5,4,1,4,2,1,5,2,2,4,4,5,5,Hashtags,3
3043,b35_45,GB,MSc,Female,4,4,4,2,4,3,3,4,5ee235163a959e2d31a0b521,163,51,Weekly,Weekly,Medium,No Goal,Somewhat,Average (=6h),≤7h,30-60min,236,Imitation Meatloaf,A,6,healthy,"['#HealthyMeatAlternative', '#LowFatHighProtein', '#NutritiousMeatloafOption', '#FSA6Approved', '#LowCalorieHighProteinDish', '#BalancedMealOption']",4,3,4,3,3,2,4,2,2,4,2,4,4,4,4,4,Hashtags,3
3044,b35_45,GB,BA,Female,4,4,4,2,4,3,4,4,6650e6f169352bfb1977a18a,170,125,Monthly,Daily,High,Lose Weight,Not at all,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA4Approved', '#NutritiousDietOption', '#ProteinPackedMeal', '#CalorieCountedChili']",5,5,5,4,4,2,4,2,2,5,2,5,5,5,5,5,Hashtags,3
3041,b45_55,GB,BA,Female,3,4,3,3,4,3,3,5,5f46c41bc6a7d0083e3564ca,160,78,Monthly,Weekly,Medium,No Goal,Somewhat,Not enough (<3h),7-9h,30-60min,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#ProteinPackedMeal', '#LowCalorieDish', '#NutrientRichIngredients', '#NotRecommendedForHighBMI', '#FSA10']",3,2,2,4,3,4,2,2,2,3,3,2,3,4,4,2,Hashtags,3
3042,b45_55,GB,MSc,Female,4,4,4,2,4,5,4,4,5ea0c0c071dbf50bd270c612,170,76,Monthly,Daily,Medium,No Goal,Not at all,A lot (>9h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyProteinPackedMeal', '#LowFatHighProteinChili', '#NutrientRichBlondeChickenChili', '#FSAapprovedDish', '#BalancedMealOption', '#HighProteinLowCalorieOption']",4,4,4,4,3,4,3,2,1,5,2,4,4,4,5,5,Hashtags,3
3048,b25_35,US,BA,Female,3,4,3,4,4,2,2,5,60c961dd88bde0638e8ee828,155,122,Monthly,Weekly,Medium,No Goal,Not at all,Not enough (<3h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowFatHighProtein', '#FSA5Approved', '#185Calories', '#DeliciouslyHealthy', '#EasyMealPrep']",4,4,4,2,4,2,5,1,1,5,3,5,4,3,2,3,Hashtags,3
3051,b25_35,GB,MSc,Female,3,4,3,2,3,2,4,3,6676d41ded1cb587040780e3,153,54,Monthly,Weekly,Medium,No Goal,Not at all,Average (=6h),7-9h,≥60min,2282,Pasta Fagioli Soup II,A,6,healthy,"['#HealthyPastaFagioliSoup', '#NutritiousIngredients', '#LowFatHighProteinSoup', '#FSA6ApprovedRecipe', '#288CaloriesPerServing', '#DeliciousAndHealthySoup']",4,4,4,3,4,4,2,2,2,3,2,4,2,3,4,5,Hashtags,3
3052,b45_55,GB,MSc,Female,4,3,4,2,4,3,4,3,665c3ea072dfed905f1465a8,163,60,Monthly,Daily,Medium,Lose Weight,Not at all,Not enough (<3h),≤7h,≥60min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyAndDeliciousPorkTenderloin', '#LowFatHighProteinMeal', '#NutrientRichAppleGlazedPork', '#EasyPrepHighFSARecipe', '#TastyAndBalancedDish', '#SatisfyingLowCalorieMeal']",4,4,3,5,4,4,2,4,4,4,3,2,3,4,4,4,Hashtags,3
3049,b25_35,GB,BA,Male,5,5,5,1,5,4,3,4,62e94b6406efad3412531a70,181,81,Monthly,Daily,Medium,No Goal,Somewhat,A lot (>9h),7-9h,30-60min,936,Pork Chop and Cabbage Casserole,A,4,healthy,"['#HealthyPorkChopCasserole', '#LowFatHighProteinMeal', '#NutrientPackedDinner', '#EasyHealthyRecipe', '#FitFoodsForLife', '#BalancedAndDelicious']",4,4,5,4,4,3,2,2,2,5,2,4,5,4,4,3,Hashtags,3
3050,b25_35,GB,BA,Female,4,5,3,1,5,3,4,5,612cb8ab5ad60fc4504e073f,177,70,Monthly,Daily,High,Lose Weight,Not at all,A lot (>9h),7-9h,≥60min,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBlackBeanStew', '#ProteinPackedMeal', '#NutritiousBrazilianStew', '#LowFatHighProtein', '#PerfectFSA6Score', '#DeliciousAndNutritious']",4,5,4,4,3,1,5,1,1,5,1,4,4,3,3,3,Hashtags,3
3055,b35_45,GB,High_school,Male,4,4,3,2,5,4,4,2,668d16ae27f1ad4461650742,173,82,Monthly,Daily,Very_High,No Goal,Not at all,Not enough (<3h),7-9h,30-60min,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#LowCalorieMexicanDish', '#ProteinPackedMeal', '#BalancedDietOption', '#NotRecommendedForWeightLoss', '#HighFatContent']",4,2,4,5,1,4,2,2,1,4,4,2,3,4,1,1,Hashtags,3
3056,b45_55,GB,BA,Female,4,4,4,2,4,3,4,4,6234ad50fbfc7c32f4687eee,162,69,Weekly,Daily,High,Lose Weight,Somewhat,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSAapprovedRecipe', '#NutrientRichMeal', '#WeightLossFriendly', '#EasyAndQuickDinner']",4,3,4,4,3,2,3,1,3,3,3,3,4,3,2,2,Hashtags,3
3060,b45_55,GB,MSc,Female,4,5,4,2,5,5,5,5,65b5163d9f6fd80b763dd0ab,165,88,Weekly,Daily,High,No Goal,Not at all,Average (=6h),7-9h,30-60min,2746,Hearty Hamburger Soup,A,5,healthy,"['#HealthyHamburgerSoup', '#LowFatHighProtein', '#NutritiousAndDelicious', '#FSA5Approved', '#CalorieConsciousMeal', '#SatisfyingSoupOption']",4,2,3,5,2,2,4,1,1,3,2,2,1,3,1,2,Hashtags,3
3076,b35_45,US,High_school,Male,5,5,5,1,5,4,5,1,62b5e4c15384ba7ca013ab55,6,1,Monthly,Daily,Medium,Lose Weight,Not at all,Average (=6h),≤7h,≥60min,1151,One Pot Pinto Beans,A,5,healthy,"['#NutritiousBeans', '#HealthyEating', '#LowFatHighProtein', '#FillingandHealthy', '#QuickMealOption', '#BalancedDiet']",4,4,5,5,3,1,5,1,1,5,1,5,5,5,4,4,Hashtags,3
3062,b45_55,US,Doctorate,Male,4,4,4,1,4,3,3,3,65f06d0bedcb12d8883c62aa,178,90,Weekly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyHoisinGingerBeefSkewers', '#NutrientRichBeefSkewers', '#LowCalorieHighProteinSkewers', '#LeanBeefHealthyOption', '#FSA6ApprovedSkewers', '#ProteinPackedMealOption']",4,4,4,4,3,2,4,2,2,4,1,4,3,3,2,2,Hashtags,3
3066,b45_55,US,BA,Female,3,3,3,3,4,3,3,3,60f3b1fe9d52d0f9fe552298,167,81,Weekly,Daily,High,No Goal,Somewhat,Average (=6h),7-9h,≥60min,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"['#HealthyEating', '#NutritiousMeal', '#LowCalorieDinner', '#HighProteinDish', '#FSA6Approved', '#EasySlowCookerRecipe']",4,4,4,3,4,2,4,2,2,4,2,4,3,4,2,2,Hashtags,3
3064,b35_45,US,MSc,Female,4,4,4,2,4,4,4,4,6172ba772342dcc9343a29db,168,60,Daily,Daily,High,No Goal,Not at all,A lot (>9h),7-9h,30-60min,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyMeal', '#HighFatContent', '#HighCalorie', '#LowFSA', '#NotRecommended', '#SkipThisMeal']",4,4,4,4,3,2,4,3,2,4,3,4,4,4,3,3,Hashtags,3
3068,b18_24,US,BA,Female,4,5,5,1,5,4,5,2,67233c9ea50770f9761e5b34,165,53,Monthly,Daily,Very_High,Gain Weight,Not at all,Average (=6h),≤7h,30-60min,236,Imitation Meatloaf,A,6,healthy,"['#HealthyMeatloafRecipe', '#HighProteinMeatloaf', '#LowFatMeal', '#GoodForWeightGain', '#QuickAndEasyRecipe', '#NutrientRichDinner']",4,4,5,4,5,2,4,1,1,5,4,4,4,4,5,5,Hashtags,3
3065,b35_45,US,BA,Female,5,5,5,1,5,4,5,1,66a398080da27efcc3e8ecef,163,65,Weekly,Weekly,High,No Goal,Not at all,Average (=6h),≤7h,30-60min,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyEating', '#FiberRich', '#ProteinPacked', '#LowFatMeal', '#FullOfFlavor', '#FSA6']",5,5,4,3,5,1,5,1,1,5,2,5,4,5,5,4,Hashtags,3
3072,b25_35,US,High_school,Female,3,4,4,2,4,1,4,4,67408c77deabefe16641546b,63,113,Monthly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,≤30min,2483,House Fried Rice,B,6,healthy,"['#HealthyHouseFriedRice', '#LowFatHighProtein', '#NutritiousAndDelicious', '#FSA6Approved', '#BalancedMealOption', '#SimpleAndSatisfying']",4,3,4,3,4,4,4,2,2,4,4,4,3,4,3,2,Hashtags,3
3070,b25_35,GB,BA,Female,5,5,4,1,5,3,4,2,65a931939b8c8cadbf56c323,168,81,Weekly,Daily,Very_High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#FlavorfulGingerBeef', '#LowCalorieDish', '#HighProteinMeal', '#NutrientPackedSkewers', '#NutritionistApproved']",4,4,4,4,4,2,4,1,1,4,2,4,4,4,4,3,Hashtags,3
3067,b25_35,US,BA,Female,4,5,5,2,3,4,3,3,53c04378fdf99b360e022d92,155,56,Daily,Daily,Very_High,Lose Weight,Quite a lot,Not enough (<3h),≤7h,30-60min,5822,Anniversary Chicken I,B,10,unhealthy,"['#UnhealthyChickenRecipe', '#HighCalorieChicken', '#FattyChickenDish', '#NotRecommendedForWeightLoss', '#LowNutrientValueChicken', '#AvoidIfInactive']",3,3,3,4,3,1,4,3,3,3,1,2,2,2,2,1,Hashtags,3
3069,b25_35,GB,BA,Female,4,4,4,2,4,2,3,3,5f2af49b7d292a45e93c896c,166,85,Monthly,Daily,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDish', '#HighProteinMeal', '#NutritiousIngredients', '#GuiltFreeDining', '#FSA5StarChickenPasta']",2,2,4,4,2,2,2,2,2,4,2,4,4,4,4,4,Hashtags,3
3075,b35_45,GB,High_school,Female,4,4,4,2,4,1,3,3,66141299ce278eb731080682,165,74,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,≤30min,3573,Raspberry Truffle Fudge,E,10,unhealthy,"['#DecadentIndulgence', '#HighFatLowProtein', '#UnhealthyTreat', '#FSA10', '#HighCalories', '#NotRecommended']",4,4,4,1,4,2,4,2,2,4,2,4,4,4,2,2,Hashtags,3
3071,b18_24,GB,High_school,Female,3,4,3,2,4,2,4,4,60e074644d4c7314b8dd0c41,163,55,Monthly,Daily,High,No Goal,Somewhat,Average (=6h),7-9h,30-60min,2803,Divine Spaghetti Sauce,A,6,healthy,"['#DivineSpaghettiSauce', '#HealthyIngredients', '#LowFatHighProtein', '#FSA6', '#534Calories', '#CookingForWellness']",4,4,4,4,3,2,4,1,1,4,1,4,3,3,3,2,Hashtags,3
3073,b35_45,GB,High_school,Female,4,4,4,2,4,3,4,4,6316ef0182fe0ccf435703e3,152,73,Weekly,Daily,High,Lose Weight,Not at all,A lot (>9h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDish', '#HighProteinMeal', '#NutritiousPasta', '#FSA5Approved', '#FitnessFuel']",4,4,4,4,4,5,2,2,2,4,2,4,4,4,4,5,Hashtags,3
3078,b45_55,GB,High_school,Female,4,4,4,2,4,3,3,4,5ded5559033565416fe02a77,175,74,Weekly,Daily,Medium,Lose Weight,Not at all,Average (=6h),≤7h,30-60min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyEatingWithApple', '#LowFatHighProtein', '#DeliciouslyNutritious', '#FSA6Approved', '#EnergyBoostingMeal', '#QuickAndEasyCooking']",4,4,4,3,4,3,4,2,2,4,2,4,4,4,4,4,Hashtags,3
3074,b25_35,US,High_school,Female,3,4,3,4,2,4,3,5,6150e088de5e18243a46222c,152,130,Monthly,Weekly,Medium,Lose Weight,Quite a lot,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyBlondeChickenChili', '#LowFatHighProteinChili', '#NutritiousChickenChili', '#FSAapprovedChiliRecipe', '#CalorieFriendlyChili', '#ProteinPackedChili']",4,3,4,3,4,2,4,2,2,5,2,3,4,4,5,5,Hashtags,3
3077,bover_55,GB,BA,Male,3,4,3,3,4,3,4,4,5c5346b553fba80001bc9662,1737,70,Monthly,Monthly,Low,No Goal,Not at all,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#ProteinPackedMeal', '#LowCalorieDinner', '#NutritiousAndDelicious', '#BalancedMealOption', '#SimpleAndSatisfying']",4,4,4,3,3,3,4,1,2,4,2,4,3,3,2,2,Hashtags,3
3080,b18_24,GB,High_school,Female,2,4,3,2,3,2,4,4,5ea9d8084fd4251207546151,167,53,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),≤7h,≤30min,561,Moroccan Tagine,A,6,healthy,"['#HealthyEats', '#LowCalorie', '#Nutritious', '#FSA6Approved', '#Nourishing', '#ProteinPacked']",4,3,3,5,3,2,4,2,2,4,2,4,3,3,3,2,Hashtags,3
3082,b35_45,US,BA,Female,4,4,4,2,4,2,3,4,590d0c9c1211f9000142af16,160,154,Monthly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),≤7h,≤30min,91,Homemade Black Bean Veggie Burgers,A,5,healthy,"['#HealthyBurgers', '#NutritiousMeals', '#LowCalorieCooking', '#VeggieBurgerDelight', '#ProteinPackedEats', '#FSA5Approved']",5,4,3,3,4,2,4,2,2,4,4,4,4,4,2,2,Hashtags,3
3083,b18_24,GB,MSc,refuse_to_disc,3,4,3,2,4,4,4,4,61072516f83cfe7c54420fef,163,60,Weekly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,5569,Luscious Chicken Pot Pie,A,10,unhealthy,"['#UnhealthyChickenPotPie', '#HighCalorieDish', '#FattyMeal', '#AvoidIfWatchingWeight', '#NotRecommendedForRegularDiet', '#SkipThisPotPie']",4,4,3,4,4,4,2,2,2,4,2,4,4,4,2,2,Hashtags,3
3084,b35_45,GB,BA,Female,4,4,2,3,2,2,3,4,59105f07a6a01d0001d65fde,168,68,Monthly,Daily,Medium,Lose Weight,Not at all,Not enough (<3h),≤7h,30-60min,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyHawaiianChickenII', '#HighCalorieDish', '#HighFatMeal', '#LowProteinOption', '#NotForWeightLoss', '#NotRecommendedForInactiveLifestyle']",4,3,4,3,4,2,4,1,1,4,1,4,4,4,3,3,Hashtags,3
3088,b35_45,US,High_school,Male,3,4,4,3,3,2,3,5,6750d9caa6227fc1b528de1c,183,181,Monthly,Daily,High,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowFatHighProtein', '#NutritiousMeal', '#FSA5Approved', '#185Calories', '#EasyHealthyRecipe']",4,4,4,3,4,2,3,1,1,5,3,4,4,4,1,1,Hashtags,3
3085,b25_35,GB,High_school,Female,4,4,4,2,4,3,4,3,599352ad5f49420001caf919,152,7,Weekly,Weekly,Medium,No Goal,Somewhat,Average (=6h),7-9h,30-60min,2803,Divine Spaghetti Sauce,A,6,healthy,"['#HealthySpaghettiSauce', '#LowFatHighProtein', '#NutritiousAndDelicious', '#FSA6Approved', '#CalorieFriendlyMeal', '#BalancedDietOption']",4,4,4,3,3,2,4,3,2,5,2,4,4,4,4,4,Hashtags,3
3089,b35_45,GB,MSc,Male,4,4,4,2,5,4,4,3,672f061e09802f149baf47e8,6,55,Weekly,Daily,Medium,No Goal,Not at all,Average (=6h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyEating', '#LowCalorie', '#HighProtein', '#NutritiousMeal', '#GoodFSArating', '#CleanEating']",4,3,4,4,4,1,4,3,2,4,3,4,3,2,4,3,Hashtags,3
