id,person,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_explanation,created,session_id
72,77,446,Brazilian Black Bean Stew,A,6,healthy,"Moroccan Tagine is a wholesome and nourishing stew made with a mix of lean protein, such as chicken or lamb, and an array of nutrient-dense vegetables like carrots, tomatoes, and bell peppers. With a low FSA score of 6, this flavorful dish packs a punch with 508 calories, 2.36g fat, and 22.8g protein - making it a great choice for those looking to maintain a balanced diet while staying active and energized throughout the day.",2024-12-11 09:28:32.768578+00:00,dars102447_77hwnlq
71,81,446,Brazilian Black Bean Stew,A,6,healthy,"Moroccan Tagine is a flavorful dish made with lean protein such as chicken or lamb, high in protein at 22.8g per serving, and low in fat at 2.36g. With a FSA score of 6 out of 6, this dish is not only healthy but also easy to prepare with 508 calories, making it a great option for those with medium activity levels and normal BMI looking for a nutritious meal.",2024-12-11 09:28:04.972778+00:00,dars102644_81mkyql
70,75,91,Homemade Black Bean Veggie Burgers,A,5,healthy,"These Homemade Black Bean Veggie Burgers are a nutritious and satisfying option, with a stellar FSA score of 5 out of 6. At only 198 calories per serving, they contain just 1.712964285g of fat and pack a healthy 11.2g of protein, making them a great choice for those maintaining a higher BMI and leading a moderately active lifestyle. With simple preparation, these burgers are a delicious way to incorporate more plant-based options into your diet.",2024-12-11 09:28:01.353058+00:00,dars102217_75ixynd
69,76,2265,Tomato-Curry Lentil Stew,A,4,healthy,"Moroccan Tagine is a nutritious dish made with lean protein such as chicken or lamb, combined with a variety of vegetables and aromatic spices. With a low FSA score of 4, each serving contains only 206 calories, 0.274678112g fat, and 13.7g of protein, making it a healthy and balanced meal option. Perfect for someone with a normal BMI, looking to maintain their weight, and with a moderate level of daily activity, this flavorful dish is worth the effort to prepare.",2024-12-11 09:26:52.026680+00:00,dars102227_76pfpnt
68,72,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish featuring lean chicken breast, whole wheat pasta, and vegetables, all contributing to a FSA score of 5 out of 6 - indicating a healthy meal choice. With only 185 calories, 1.307g of fat, and 15.7g of protein per serving, this dish is suitable for individuals with higher BMI who are looking for a balanced meal to support their active lifestyle. With enough hours of sleep, somewhat active habits, and medium activity levels, preparing Chicken Pasta I will help you maintain a healthy diet without compromising on taste.",2024-12-11 09:24:08.697720+00:00,dars102056_72oevkd
67,74,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a healthy and satisfying dish made with lean chicken breast, whole grain pasta, and a flavorful tomato-based sauce. With only 185 calories, 1.307047163g of fat, and 15.7g of protein per serving, it has a perfect FSA score of 5 out of 6, making it a great choice for individuals with higher BMI who prioritize nutritious meals while maintaining a balanced lifestyle.",2024-12-11 09:23:30.174386+00:00,dars102151_74eubkt
66,73,236,Imitation Meatloaf,A,6,healthy,"Michelle's Blonde Chicken Chili is a healthy and satisfying dish with a perfect FSA score of 6 out of 6. With only 331 calories, 3.867g of fat, and 17.4g of protein per serving, it is a nutritious option for those with higher BMI looking to maintain a balanced diet. Plus, its easy preparation makes it ideal for busy individuals with limited time for cooking.",2024-12-11 09:23:29.689640+00:00,dars102106_73wbkjv
65,70,2719,Quick and Easy Chicken Noodle Soup,A,6,healthy,"Pasta Fagioli Soup II is a nutritious dish with a FSA score of 6, making it a healthy choice for those looking to gain weight. With only 161 calories, 1.505002282g of fat, and 13.4g of protein per serving, this soup is a satisfying and nourishing option for individuals with lower BMI who lead an active lifestyle and prioritize their health. Prepare this recipe for a balanced meal that will fuel your body and support your wellness goals.",2024-12-10 16:27:20.569647+00:00,dars172457_70vfsuk
64,71,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"This Slow Cooker Vegetable Beef Soup is a nutritious option for those looking to maintain a healthy lifestyle. With a perfect FSA score of 6, low in fat at 1.514g, and high in protein at 18.0g, it is a satisfying and guilt-free meal choice. Plus, with just 264 calories per serving, it's a great choice for individuals with higher BMI who prioritize balanced nutrition and overall well-being.",2024-12-10 16:27:00.216158+00:00,dars172524_71wwgth
63,63,446,Brazilian Black Bean Stew,A,6,healthy,"Divine Spaghetti Sauce is a healthy and nutritious choice with a FSA score of 6 out of 6, making it an excellent option for maintaining a balanced diet. With only 508 calories, 2.36g of fat, and 22.8g of protein per serving, this dish provides a satisfying and guilt-free meal for those with normal BMI and medium activity levels looking to enjoy a delicious homemade meal.",2024-12-10 16:04:24.988153+00:00,dars165419_63dbihe
62,61,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious and satisfying dish with a FSA score of 4 (good). With only 412 calories, 0.973739897g of fat, and 47.2g of protein per serving, it is a healthy option for those with higher BMI and no specific eating goals. This recipe is quick and easy to prepare, making it suitable for individuals with few hours of sleep and not enough activity levels.",2024-12-10 16:01:02.213774+00:00,dars165349_61pwiwq
61,69,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"Hoisin-Ginger Beef Skewers are a delicious and healthy option for a meal, with a perfect FSA score of 6. With only 124 calories per serving, 4.024351608g of fat, and 11.7g of protein, this dish is a satisfying choice for those with normal BMI and medium activity level. Prepare these skewers for a flavorful and nutritious meal that aligns with your health goals.",2024-12-10 16:00:14.079393+00:00,dars165907_69eyxes
60,62,494,Apple Glazed Pork Tenderloin,A,6,healthy,"Moroccan Tagine is a nutritious dish made with lean protein, vegetables, and aromatic spices, resulting in a healthy and flavorful meal. With a perfect FSA score of 6, 434 calories, 1.933534743g fat, and 22.5g protein, it is ideal for individuals looking to maintain a balanced diet without compromising on taste. Enjoy this delicious and wholesome dish without needing to adjust your eating habits or activity level.",2024-12-10 15:59:46.379647+00:00,dars165356_62huful
59,34,482,Chicken Chili Soup,A,5,healthy,"Chicken Chili Soup is a nutritious meal packed with lean protein from chicken and kidney beans. With a low fat content of 0.407357116g and high protein content of 16.5g, it is a perfect option for individuals with higher BMI looking to maintain a balanced diet. This recipe has a FSA score of 5 out of 6, making it a healthy choice for those with medium activity levels and busy schedules.",2024-12-10 15:57:22.310933+00:00,dars165135_34mglgz
58,67,494,Apple Glazed Pork Tenderloin,A,6,healthy,"Moroccan Tagine is a nutritious dish with a high protein content of 22.5g, making it a healthier option for those looking to maintain or gain weight. With a low fat content of 1.933534743g, this dish is beneficial for individuals with higher BMI and may aid in weight management. With a FSA score of 6 out of 6 and only 434 calories, Moroccan Tagine is a satisfying and balanced meal option for those with busy lifestyles and limited physical activity.",2024-12-10 15:57:13.575762+00:00,dars165447_67nilcb
57,68,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish featuring tender chicken, whole wheat pasta, and fresh vegetables. With a low FSA score of 5, it is a healthy option for those looking to maintain their weight. Packed with 185 calories, 1.307047163g fat, and 15.7g protein, it provides a balanced meal for individuals with higher BMI and moderate activity levels.",2024-12-10 15:57:13.030973+00:00,dars165544_68jdnip
56,66,2803,Divine Spaghetti Sauce,A,6,healthy,"Divine Spaghetti Sauce is a healthy and flavorful dish packed with nutritious ingredients like tomatoes, onions, garlic, and spices. With a perfect FSA score of 6, this sauce is low in fat with only 2.88g and high in protein with 26.3g, making it a satisfying choice for a well-balanced meal. With 534 calories per serving, this delicious recipe is ideal for someone with a normal BMI, no specific eating goal, and a moderate level of physical activity looking for a nourishing and delicious meal option.",2024-12-10 15:57:06.576340+00:00,dars165442_66trjvv
55,65,936,Pork Chop and Cabbage Casserole,A,4,healthy,"A nutritious Pork Chop and Cabbage Casserole with a FSA score of 4, contains only 370 calories per serving. With 1.307668372g of fat and 21.5g of protein, it is a healthy option for those with normal BMI, no weight loss goals, and moderate activity levels. Enjoy this dish guilt-free as a satisfying and balanced meal.",2024-12-10 15:56:54.922347+00:00,dars165428_65dhuvc
54,51,3649,Enchilada Casserole,B,10,unhealthy,"Enchilada Casserole is a flavorful dish made with tortillas, cheese, and shredded chicken, providing 17.4g of protein. However, with a high FSA score of 10 and 9.74g of fat, this dish may not be suitable for those with higher BMI or no specific eating goals. It is recommended to opt for lighter, lower calorie options for individuals with somewhat active lifestyles and enough hours of sleep.",2024-12-10 15:56:32.388543+00:00,dars165228_51fvnur
53,64,6345,Pasta Sauce with Italian Sausage,C,10,unhealthy,"Pasta Sauce with Italian Sausage is a high-calorie dish with a FSA score of 10 due to its high fat content. With 339 calories, 8.759228049g fat, and 18.5g protein per serving, it may not be suitable for individuals with higher BMI aiming to reduce weight. Those with insufficient sleep and low activity levels may also want to avoid this recipe.",2024-12-10 15:56:14.285105+00:00,dars165422_64dftaa
52,53,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious and satisfying dish, with a FSA score of 4 out of 6. With only 412 calories, 0.973739897g fat, and 47.2g protein per serving, this recipe is perfect for those with higher BMI looking for a healthy and filling meal. It is easy to prepare, making it a great option for individuals with limited time for cooking, moderate physical activity levels, and average amount of sleep.",2024-12-10 15:56:10.735819+00:00,dars165317_53fbyqd
51,60,2282,Pasta Fagioli Soup II,A,6,healthy,"This Pasta Fagioli Soup II is a nutritious dish with a high protein content of 15.8g and low fat content of 0.731142613g, making it a healthy choice for those looking to gain weight. With a FSA score of 6, this soup is rated as good quality and contains only 288 calories, making it suitable for individuals with lower BMI. Combined with enough hours of sleep and medium activity level, this recipe is a delicious and filling option for anyone looking to improve their overall health.",2024-12-10 15:56:10.093801+00:00,dars165349_60apcnc
50,57,561,Moroccan Tagine,A,6,healthy,"Moroccan Tagine is a healthy and flavorful dish made with tender chicken, vegetables, and fragrant spices. With a high FSA score of 6 and only 265 calories per serving, this dish is a nutritious option for those looking to maintain a balanced diet. Packed with 14.1g of protein and only 0.963675413g of fat, Moroccan Tagine is a satisfying meal that can easily be prepared by individuals with somewhat active lifestyles.",2024-12-10 15:55:57.707189+00:00,dars165318_57meilz
49,56,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious and healthy dish, with a low FSA score of 5 out of 6. With only 185 calories, 1.307g fat, and 15.7g protein per serving, it is perfect for those with higher BMI looking for a satisfying meal. With no specific eating goals, plenty of sleep, no stress, and high activity levels, this recipe is a great choice for a balanced diet.",2024-12-10 15:55:49.508558+00:00,dars165318_56rfiyh
48,49,2746,Hearty Hamburger Soup,A,5,healthy,"Hearty Hamburger Soup is a nutritious and satisfying dish with a FSA score of 5, making it a great choice for those looking to maintain a balanced diet. With only 223 calories, 2.59g of fat, and 14.7g of protein per serving, this soup is a healthy option for individuals with higher BMI and medium activity levels. Enjoy a delicious and filling meal that will keep you energized throughout the day.",2024-12-10 15:55:43.643476+00:00,dars165227_49hmmuy
47,50,446,Brazilian Black Bean Stew,A,6,healthy,"Brazilian Black Bean Stew is a nutrient-rich dish packed with healthy ingredients such as black beans, tomatoes, onions, and bell peppers. With a FSA score of 6 out of 6 and only 508 calories, it is a satisfying and balanced meal that is low in fat (2.36g) and high in protein (22.8g). This hearty stew is the perfect choice for individuals with normal BMI looking for a delicious and nutritious meal to fuel their medium activity level.",2024-12-10 15:55:35.951888+00:00,dars165227_50dgvsb
46,47,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish that contains lean chicken breast, whole wheat pasta, and a variety of vegetables. With a FSA score of 5 out of 6, low in fat (1.307047163g) and high in protein (15.7g), this meal is ideal for those with a higher BMI who are looking to maintain a balanced diet. It is a filling option for individuals who lead an active lifestyle and prioritize their health.",2024-12-10 15:55:32.414543+00:00,dars165212_47hmpkd
45,41,2746,Hearty Hamburger Soup,A,5,healthy,"Hearty Hamburger Soup is a nutritious dish with a FSA score of 5, providing only 223 calories. Packed with 2.6g of fat and 14.7g of protein, this recipe is a satisfying and healthy option for individuals with higher BMI. With no specific eating goals, sufficient sleep, and medium activity level, this soup is a perfect choice to enjoy a delicious meal without compromising on health.",2024-12-10 15:55:25.935022+00:00,dars165155_41ofzur
44,46,236,Imitation Meatloaf,A,6,healthy,"Michelle's Blonde Chicken Chili is a nutritious dish with a perfect FSA score of 6, making it a healthy choice for those with higher BMI. With only 331 calories, 3.867334592g fat, and 17.4g protein, this recipe is ideal for individuals looking to maintain a balanced diet while managing their weight and energy levels. Even for those with limited time for physical activity, this chili provides a satisfying and nourishing option that is easy to prepare.",2024-12-10 15:55:06.764202+00:00,dars165212_46jngxi
43,42,236,Imitation Meatloaf,A,6,healthy,"Michelle's Blonde Chicken Chili is a healthy dish with a perfect FSA score of 6, containing only 331 calories, 3.867334592g fat, and 17.4g of protein. This recipe is ideal for those with higher BMI, no specific eating goals, limited sleep, and medium activity levels, providing a nutritious and satisfying meal option.",2024-12-10 15:54:58.463094+00:00,dars165155_42kxhus
42,58,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a healthy and satisfying dish made with tender chicken breast, whole wheat pasta, and a flavorful tomato-based sauce. With a FSA score of 5 out of 6, this dish is a nutritious choice for individuals with higher BMI who are not trying to lose weight. With only 185 calories, 1.307047163g fat, and 15.7g protein per serving, this meal is perfect for those who lead an active lifestyle and prioritize getting enough sleep.",2024-12-10 15:54:56.876182+00:00,dars165318_58cfmvf
41,52,2483,House Fried Rice,B,6,healthy,"House Fried Rice is a nutritious dish made with a blend of whole grains, vegetables, and lean protein. With a perfect FSA score of 6, it contains only 236 calories, 5.382157188g of fat, and 13.0g of protein, making it a satisfying yet healthy option for individuals with normal BMI and moderate physical activity levels. Enjoy this delicious meal without sacrificing taste or nutrition.",2024-12-10 15:54:49.476424+00:00,dars165242_52luhiz
40,59,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"Divine Spaghetti Sauce is a healthy and nutritious option with a FSA score of 6. With only 124 calories, 4.024351608g fat, and 11.7g protein per serving, it is ideal for those with lower BMI and no specific eating goals. Even for individuals with enough sleep and moderate activity levels, this recipe is a great choice to enjoy a delicious meal.",2024-12-10 15:54:42.468883+00:00,dars165325_59ypglm
39,37,446,Brazilian Black Bean Stew,A,6,healthy,"Brazilian Black Bean Stew is a nutritious and satisfying dish made with black beans, tomatoes, bell peppers, and onions. With a perfect FSA score of 6, it is low in fat and high in protein, providing a total of 508 calories per serving. This hearty stew is a delicious and well-balanced meal choice for anyone looking to enjoy a healthy and fulfilling dish without compromising taste.",2024-12-10 15:54:37.656481+00:00,dars165143_37icqfi
38,39,2746,Hearty Hamburger Soup,A,5,healthy,"Hearty Hamburger Soup is a nutritious dish with a good FSA score of 5 out of 6, containing only 223 calories, 2.59g of fat, and 14.7g of protein. For individuals with higher BMI and moderate activity levels, this recipe is a satisfying and healthy option to enjoy without compromising weight loss goals. With a balanced diet and lifestyle, this soup can be a delicious addition to your meal plan.",2024-12-10 15:54:31.558546+00:00,dars165153_39byxzg
37,44,561,Moroccan Tagine,A,6,healthy,"Moroccan Tagine is a nutritious dish featuring lean protein from chicken, chickpeas, and vegetables cooked in flavorful spices like cumin and cinnamon. With a low FSA score of 6 out of 6, 265 calories, 0.963675413g fat, and 14.1g protein, this meal is a healthy option for those looking to maintain a balanced diet without compromising on taste. Even for those with minimal energy and time to spare, preparing this nutrient-packed tagine is a great choice for a satisfying and wholesome meal.",2024-12-10 15:54:13.027019+00:00,dars165157_44hwust
36,48,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta is a healthy and nutritious dish with a FSA score of 5, making it an excellent choice for those with higher BMIs. This dish is low in calories, with only 185 per serving, and high in protein at 15.7g to support muscle health. With a moderate level of physical activity and adequate sleep, preparing Chicken Pasta can be a satisfying and balanced meal option.",2024-12-10 15:54:11.961010+00:00,dars165214_48cnxcn
35,27,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious meal consisting of lean chicken, whole wheat pasta, and fresh vegetables, scoring a perfect 6 out of 6 on the FSA scale for healthiness. With only 185 calories, 1.31g fat, and 15.7g protein per serving, this dish is a perfect option for individuals with higher BMI looking to maintain a healthy lifestyle while enjoying a satisfying meal. With enough sleep, moderate physical activity, and no specific weight loss goals, this recipe is ideal for your daily menu.",2024-12-10 15:54:10.636288+00:00,dars165107_27jtysa
34,43,494,Apple Glazed Pork Tenderloin,A,6,healthy,"Moroccan Tagine is a nutritious dish made with lean protein, vegetables, and flavorful spices. With a FSA score of 6 out of 6, this dish is a healthy option for those looking to maintain a balanced diet. With 434 calories, 1.933534743g fat, and 22.5g of protein, it provides a satisfying and nutritious meal for individuals with higher BMI and active lifestyles.",2024-12-10 15:53:54.996796+00:00,dars165157_43tychi
33,36,1716,Tasty Collard Greens,A,5,healthy,"These delicious collard greens are packed with nutrients, including 9.6g of protein and only 2.621571217g of fat. With a FSA score of 5 (6 out of 6 - good), and only 142 calories, they make a healthy and satisfying addition to any meal. Even if you have a higher BMI and are not trying to lose weight, this dish is a great option for those with medium activity levels and enough hours of sleep.",2024-12-10 15:53:49.061147+00:00,dars165143_36kqolw
32,30,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"This hearty Slow Cooker Vegetable Beef Soup is a nutritious option for those with higher BMIs seeking a satisfying meal. With a perfect FSA score of 6, low 1.514458042g fat, and high 18.0g protein, this dish provides a balanced and wholesome option. With only 264 calories per serving, it is a delicious choice for those who prioritize health and weight maintenance, even for individuals with medium activity levels.",2024-12-10 15:53:40.332590+00:00,dars165120_30pdkli
31,25,2210,Vietnamese Salad Rolls,B,6,healthy,"Pasta Fagioli Soup II is a nutritious and delicious dish with a FSA score of 6, making it a healthy choice for those looking to maintain a lower BMI. With only 187 calories, 1.650165017g fat, and 11.6g protein per serving, this soup is a satisfying option for individuals with no specific eating goal. With enough hours of sleep but somewhat low activity levels, preparing this recipe can help you stay on track with your health and wellness goals.",2024-12-10 15:53:33.847288+00:00,dars165054_25cfrnu
30,29,446,Brazilian Black Bean Stew,A,6,healthy,"Moroccan Tagine is a nutritious dish featuring lean protein and a variety of vegetables, resulting in a FSA score of 6 out of 6 - classified as good. With only 508 calories, 2.363315048g fat, and 22.8g protein per serving, this hearty meal is perfect for individuals with normal BMI, moderate activity levels, and a balanced diet. The rich flavors and health benefits of Moroccan Tagine make it a delicious and satisfying choice for those looking for a convenient, nutrient-dense meal option.",2024-12-10 15:53:26.036309+00:00,dars165110_29darew
29,28,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious and satisfying dish packed with lean protein, boasting a high protein content of 47.2g per serving. With only 0.973739897g of fat and a low FSA score of 4 out of 6, this chili is a healthy option for individuals with a higher BMI looking to maintain their weight while incorporating more protein into their diet. Additionally, at only 412 calories per serving, this chili is a guilt-free option for those with a somewhat active lifestyle and medium activity levels, providing the necessary fuel to keep you energized throughout the day.",2024-12-10 15:53:25.406608+00:00,dars165109_28ovnqm
28,38,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish made with lean chicken breast, whole wheat pasta, and a variety of vegetables for added fiber and vitamins. With a FSA score of 5 out of 6, only 185 calories, 1.307047163g fat, and 15.7g protein per serving, it is an excellent choice for individuals with higher BMI looking to maintain a healthy diet. If you have enough sleep, are not trying to lose weight, and engage in medium activity levels, this recipe is the perfect option for a satisfying and balanced meal.",2024-12-10 15:53:25.259671+00:00,dars165144_38xavav
27,26,3649,Enchilada Casserole,B,10,unhealthy,"Enchilada Casserole is a high-fat, high-calorie dish with a FSA score of 10, making it unsuitable for individuals with higher BMI or those trying to lose weight. With 375 calories, 9.74g fat, and 17.4g protein per serving, this meal should be avoided by those who do not get enough sleep, exercise, or maintain a healthy lifestyle.",2024-12-10 15:53:17.281767+00:00,dars165055_26rlwxy
26,17,6371,Blue Cheese Beef Tenderloin,D,10,unhealthy,"Blue Cheese Beef Tenderloin is a rich and indulgent dish, with high fat content (22.07610393g) and a FSA score of 10 out of 12, indicating it is not a healthy choice for individuals with lower BMI or no eating goals. With 669 calories and 35.1g of protein, this recipe is best enjoyed in moderation by those with higher activity levels and ample sleep.",2024-12-10 15:53:11.595411+00:00,dars165002_17yapuv
25,21,2329,Lentil Loaf,A,5,healthy,"Lentil Loaf is a nutritious dish made with high-protein lentils, which are rich in fiber and essential nutrients. With a FSA score of 5 out of 6, low in fat (2.5g) and high in protein (14.6g), this dish is perfect for those looking to maintain a healthier diet. With only 272 calories per serving, Lentil Loaf is a satisfying and wholesome option for individuals with higher BMI, no specific eating goal, limited sleep, and moderate activity levels.",2024-12-10 15:53:03.945951+00:00,dars165037_21mdwzv
24,35,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"Chicken Pasta I is a wholesome dish featuring tender chicken breast, whole grain pasta, and a creamy garlic sauce. With a perfect FSA score of 6, this dish is low in calories (124), high in protein (11.7g), and moderate in fat (4.024351608g), making it a nutritious choice for those with higher BMI and active lifestyles. Enjoy this satisfying meal without compromising your health goals.",2024-12-10 15:53:02.198558+00:00,dars165140_35shsbe
23,18,5125,Spinach Basil Pesto,E,10,unhealthy,"This Spinach Basil Pesto is a high-fat, calorie dense dish with a FSA score of 10, containing 48.11g of fat and only 1.5g of protein. It is not suitable for someone with a higher BMI looking to reduce weight, eat fewer calories, get more sleep, or engage in less physical activity.",2024-12-10 15:52:54.787657+00:00,dars165022_18grqio
22,20,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a nutritious dish with a FSA score of 4, indicating it is a healthy choice. With only 412 calories, 0.973739897g fat, and 47.2g protein, it is a satisfying option for individuals with higher BMI who are not looking to lose weight but still want a balanced diet. Its wholesome ingredients make it a great choice for those with medium activity levels and limited hours of sleep.",2024-12-10 15:52:53.715794+00:00,dars165035_20kjrgi
21,33,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"This Slow Cooker Vegetable Beef Soup is a nutritious meal option with a perfect FSA score of 6, making it a great choice for those prioritizing health. With only 264 calories, 1.514g of fat, and 18.0g of protein per serving, this soup is a satisfying and balanced option for individuals maintaining a higher BMI. Simply prepare the ingredients and let the slow cooker do the work, allowing for a convenient and flavorful meal without the need for extensive physical activity.",2024-12-10 15:52:50.013923+00:00,dars165130_33iypnj
20,23,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a healthy and satisfying dish with a FSA score of 5 (6 out of 6 - good). With only 185 calories, 1.307047163g fat, and 15.7g protein per serving, it is a nutritious meal option for those with higher BMI looking to maintain a balanced diet. The ingredients used in this recipe are not at all harmful, making it a perfect choice for individuals with medium activity levels and enough hours of sleep.",2024-12-10 15:52:47.261335+00:00,dars165042_23qpaak
19,31,3992,Raspberry Almond Coffeecake,D,10,unhealthy,"Raspberry Almond Coffeecake is a delicious treat, but with a FSA score of 10 out of 12, it is not the healthiest option for those trying to manage their weight. With 173 calories and 10.6g of fat per serving, it is best enjoyed in moderation by individuals who are maintaining a healthy lifestyle with adequate sleep and physical activity.",2024-12-10 15:52:42.890050+00:00,dars165126_31iohwb
18,19,2803,Divine Spaghetti Sauce,A,6,healthy,"Divine Spaghetti Sauce is a healthy and flavorful dish made with fresh ingredients like tomatoes, garlic, and herbs. With a perfect FSA score of 6 and only 534 calories, 2.879594958g fat, and 26.3g protein, it is a guilt-free and nutritious option for a delicious meal. Even for those with no specific dietary goals, ample sleep, and a sedentary lifestyle, this recipe is worth trying for its health benefits and satisfying taste.",2024-12-10 15:52:33.585202+00:00,dars165030_19xuvdz
